"id","kode","tahun","PER","PBR","ROE","DER","DPR"
"2","BBCA","2020","30.76","4.52","15.13","0.07","106"
"5","BBRI","2020","27.57","2.25","8.61","0.86","96.49"
"8","BMRI","2020","17.56","1.56","8.53","0.54","110.14"
"11","BBNI","2020","35.07","1.04","2.82","0.55","22.01"
"14","BRIS","2020","42.05","1.02","16.31","0.11","0"
"17","SMMA","2020","138.81","3.63","0.1","0.37","0"
"20","MEGA","2020","16.67","2.75","17.83","0.72","178.86"
"23","BNGA","2020","12.33","0.6","4.77","0.48","44.06"
"26","TOWR","2020","16.98","4.72","9.16","0.42","28.09"
"29","ARTO","2020","0","0","0","0","0"
"32","BNLI","2020","117.37","2.41","2.44","0.34","0"
"35","NISP","2020","8.95","0.63","7.31","0.28","0"
"38","CASA","2020","0","0","0","0","0"
"41","PNBN","2020","8.26","0.58","7.25","0.5","0"
"44","BDMN","2020","30.46","0.71","2.29","0.47","36.08"
"47","MKPI","2020","114.8","4.73","3.1","0","106"
"50","BTPN","2020","14.32","0.8","5.73","1.45","0"
"53","BINA","2020","0","0","0","0","0"
"56","CTRA","2020","13.82","1.19","3.5","0","8.5"
"59","SRTG","2020","1.07","0.29","28.6","0","22"
"62","BBHI","2020","0","0","0","0","0"
"65","BSDE","2020","86.76","0.85","0.49","2.37","0"
"68","PWON","2020","26.41","1.68","3.54","0","0"
"71","BNII","2020","20.82","0.98","4.77","0.9","3.32"
"74","BBTN","2020","11.4","0.91","7.31","2.5","0"
"77","BSIM","2020","0","0","0","0","0"
"80","BBSI","2020","0","0","0","0","0"
"83","MPRO","2020","0","0","0","0","0"
"86","BFIN","2020","11.94","1.27","4.09","0","18"
"89","BANK","2020","0","0","0","0","0"
"92","ADMF","2020","8.75","1.13","12.82","2.14","513"
"95","LIFE","2020","30.4","1.25","4.19","0.28","243"
"98","APIC","2020","0","0","0","0","0"
"101","BBKP","2020","0","0","0","0","0"
"104","INPP","2020","0","1.57","6.13","3.71","0"
"107","BJBR","2020","9.04","1.28","14.09","1.61","95.48"
"110","BMAS","2020","28.52","1.49","5.33","0.39","2.89"
"113","PLIN","2020","0","0.81","4.72","2.95","86"
"116","RISE","2020","0","0","0","0","0"
"119","JRPT","2020","8.06","1.08","8.17","0","22"
"122","BTPS","2020","33.79","4.91","15.16","0.05","33"
"125","SMRA","2020","64.58","1.7","0.73","1.42","0"
"128","BJTM","2020","6.86","1.02","15.52","0.36","48.85"
"131","MAYA","2020","814.61","4.05","0.51","0.48","0"
"134","MFIN","2020","15.04","1.12","3.9","0","19"
"137","DUTI","2020","13.17","0.83","3.88","0","0"
"140","DMAS","2020","8.8","2.15","18.76","3.21","31.5"
"143","BBMD","2020","18.75","1.51","8.7","0","29.79"
"146","SDRA","2020","9.09","0.67","7.55","1.52","9.47"
"149","AGRO","2020","707.84","5.15","0.71","0.11","0"
"152","BKSL","2020","0","0","0","0","0"
"155","LPKR","2020","0","0.78","16.63","3.13","0"
"158","KPIG","2020","0","0","0","0","0"
"161","NOBU","2020","0","0","0","0","0"
